Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,WO Number,WO Status,Order Date,Start Date,Completed Date,Quantity Requested,Quantity Completed,Unit of Measure
SING,MC9100,MC9100.S,MC9100.S-TL,4584092,20,2026-07-13 00:00:00,2026-07-17 00:00:00,,12,0,TO
CIN2,MCL1188,MCL1188,MCL1188-B1,4583152,35,2026-06-23 00:00:00,2026-07-22 00:00:00,,90,0,B1
CIN2,MCL1188,MCL1188,MCL1188-P1,4583863,20,2026-07-07 00:00:00,2026-07-23 00:00:00,,2,0,PA
AUBA,MCL1188,MCL1188.E,MCL1188.E,4583599,20,2026-07-01 00:00:00,2026-09-02 00:00:00,,15000,0,KG
AUBA,MD7900,MD7900.E,MD7900.E,4583383,90,2026-06-29 00:00:00,2026-07-15 00:00:00,,10384,0,KG
AUBA,MD7900,MD7900.E,MD7900.E-TO,4583384,20,2026-06-29 00:00:00,2026-07-16 00:00:00,,8,0,TO
SING,MD91530,MD91530.S,MD91530.S,4583461,32,2026-06-30 00:00:00,2026-07-16 00:00:00,,3766,0,KG
SING,MD91530,MD91530.S,MD91530.S-PD,4583462,20,2026-06-30 00:00:00,2026-07-17 00:00:00,,18,0,DR
CINC,ME20117,ME20117,ME20117,4583925,32,2026-07-08 00:00:00,2026-07-16 00:00:00,,33000,0,LB
CINC,ME20117,ME20117,ME20117-T2,4583926,20,2026-07-08 00:00:00,2026-07-20 00:00:00,,14,0,TO
CINC,ME24035,ME24035,ME24035,4583400,90,2026-06-29 00:00:00,2026-07-15 00:00:00,,41000,0,LB
CINC,ME24035,ME24035,ME24035-BP,4583401,20,2026-06-29 00:00:00,2026-07-17 00:00:00,,88,0,DR
CIN2,ME35940,ME35940,ME35940-T3,4583499,35,2026-06-30 00:00:00,2026-07-14 00:00:00,,2,0,TO
AUBA,ME36840A,ME36840A.E,ME36840A.E,4584180,20,2026-07-14 00:00:00,2026-07-29 00:00:00,,10000,0,KG
AUBA,ME36840A,ME36840A.E,ME36840A.E-PD,4583911,20,2026-07-08 00:00:00,2026-07-30 00:00:00,,3,0,DR
AUBA,ME36840A,ME36840A.E,ME36840A.E-TO,4584181,20,2026-07-14 00:00:00,2026-07-30 00:00:00,,10,0,TO
CIN2,ME39235,ME39235,ME39235-FD,4583917,35,2026-07-08 00:00:00,2026-07-24 00:00:00,,5,0,DR
CINC,ME51530K,ME51530K,ME51530K,4584196,32,2026-07-14 00:00:00,2026-07-17 00:00:00,,44000,0,LB
CINC,ME52137I,ME52137I,ME52137I,4583931,32,2026-07-08 00:00:00,2026-07-14 00:00:00,,28000,0,LB
CINC,ME52137I,ME52137I,ME52137I,4583930,32,2026-07-08 00:00:00,2026-07-15 00:00:00,,28000,0,LB
CINC,ME52137I,ME52137I,ME52137I,4584135,32,2026-07-13 00:00:00,2026-07-20 00:00:00,,28000,0,LB
CINC,ME52137I,ME52137I,ME52137I,4584134,32,2026-07-13 00:00:00,2026-07-21 00:00:00,,28000,0,LB
CINC,ME62330,ME62330,ME62330,4583809,32,2026-07-06 00:00:00,2026-07-17 00:00:00,,28000,0,LB
CINC,ME62330,ME62330,ME62330,4584049,20,2026-07-10 00:00:00,2026-07-30 00:00:00,,44000,0,LB
CINC,ME62330,ME62330,ME62330-FD,4583810,20,2026-07-06 00:00:00,2026-07-22 00:00:00,,62,0,DR
CINC,ME66035,ME66035,ME66035-T3,4583987,20,2026-07-09 00:00:00,2026-07-14 00:00:00,,12,0,TO
CINC,ME67235,ME67235,ME67235,4583098,32,2026-06-22 00:00:00,2026-07-15 00:00:00,,43900,0,LB
CINC,ME67235,ME67235,ME67235,4583622,32,2026-07-01 00:00:00,2026-07-15 00:00:00,,43900,0,LB
CINC,ME67235,ME67235,ME67235,4583220,32,2026-06-24 00:00:00,2026-07-22 00:00:00,,43900,0,LB
