OrderCo,OrderNum,LineNum,LocalCcy,OrderDate,GLDate,Net,NetUSD,NetEUR,BOAmt,BOAmtEUR,BOAmtLC,QtyBO,QtyOrd,QtyShip,ExtCost,ExtCostUSD,ExtCostEUR,BOCost,BOCostEUR,XRateUSD,CFUSD
00010,1541848,1.0,USD,2022-03-01T00:00:00,2022-03-03T00:00:00,2227.5,2227.5,,0.0,0.0,0.0,0.0,1.0,1.0,1497.6,1497.6,,0.0,0.0,1.0,1.0
00010,1543359,1.0,USD,2022-03-03T00:00:00,2022-03-29T00:00:00,9240.0,9240.0,,0.0,0.0,0.0,0.0,1.0,1.0,7273.2,7273.2,,0.0,0.0,1.0,1.0
00010,1543360,1.0,USD,2022-03-03T00:00:00,2022-04-14T00:00:00,9240.0,9240.0,,0.0,0.0,0.0,0.0,1.0,1.0,7183.0,7183.0,,0.0,0.0,1.0,1.0
00010,1543361,1.0,USD,2022-03-03T00:00:00,2022-10-31T00:00:00,9240.0,9240.0,,0.0,0.0,0.0,0.0,1.0,1.0,8078.4,8078.4,,0.0,0.0,1.0,1.0
00010,1543364,1.0,USD,2022-03-03T00:00:00,2022-06-05T00:00:00,1813.5,1813.5,,0.0,0.0,0.0,0.0,1.0,1.0,1223.1,1223.1,,0.0,0.0,1.0,1.0
00010,1546544,1.0,USD,2022-03-08T00:00:00,2022-03-16T00:00:00,2227.5,2227.5,,0.0,0.0,0.0,0.0,1.0,1.0,1497.6,1497.6,,0.0,0.0,1.0,1.0
00010,1562763,1.0,USD,2022-04-01T00:00:00,2022-04-12T00:00:00,592.0,592.0,,0.0,0.0,0.0,0.0,1.0,1.0,282.5,282.5,,0.0,0.0,1.0,1.0
00010,1581611,1.0,USD,2022-04-28T00:00:00,2022-05-10T00:00:00,11748.0,11748.0,,0.0,0.0,0.0,0.0,1.0,1.0,6133.38,6133.38,,0.0,0.0,1.0,1.0
00010,1586497,1.0,USD,2022-05-05T00:00:00,2022-05-13T00:00:00,366.8,366.8,,0.0,0.0,0.0,0.0,1.0,1.0,156.74,156.74,,0.0,0.0,1.0,1.0
00010,1589444,1.0,USD,2022-05-09T00:00:00,2022-05-23T00:00:00,8800.0,8800.0,,0.0,0.0,0.0,0.0,1.0,1.0,6674.8,6674.8,,0.0,0.0,1.0,1.0
00010,1603425,1.0,USD,2022-05-27T00:00:00,2022-08-04T00:00:00,2439.0,2439.0,,0.0,0.0,0.0,0.0,1.0,1.0,1223.1,1223.1,,0.0,0.0,1.0,1.0
00010,1618664,1.0,USD,2022-06-16T00:00:00,2022-06-30T00:00:00,569.2,569.2,,0.0,0.0,0.0,0.0,1.0,1.0,292.98,292.98,,0.0,0.0,1.0,1.0
00010,1710918,1.0,USD,2022-10-18T00:00:00,2022-11-09T00:00:00,391.2,391.2,,0.0,0.0,0.0,0.0,1.0,1.0,206.61,206.61,,0.0,0.0,1.0,1.0
00010,1713288,1.0,USD,2022-10-21T00:00:00,2022-11-09T00:00:00,2439.0,2439.0,,0.0,0.0,0.0,0.0,1.0,1.0,1275.3,1275.3,,0.0,0.0,1.0,1.0
00010,2373896,1.0,USD,2025-03-13T00:00:00,2025-03-31T00:00:00,252.8,252.8,,0.0,0.0,0.0,0.0,1.0,1.0,138.44,138.44,,0.0,0.0,1.0,1.0
00010,2331011,1.0,USD,2025-01-14T00:00:00,2025-03-10T00:00:00,149.28,149.28,,0.0,0.0,0.0,0.0,1.0,1.0,142.18,142.18,,0.0,0.0,1.0,1.0
00010,2336293,1.0,USD,2025-01-21T00:00:00,2025-03-24T00:00:00,1515.3,1515.3,,0.0,0.0,0.0,0.0,1.0,1.0,1443.15,1443.15,,0.0,0.0,1.0,1.0
00010,2341540,1.0,USD,2025-01-28T00:00:00,2025-02-10T00:00:00,322.44,322.44,,0.0,0.0,0.0,0.0,1.0,1.0,307.08,307.08,,0.0,0.0,1.0,1.0
00010,2426088,1.0,USD,2025-05-21T00:00:00,2025-06-09T00:00:00,321.26,321.26,,0.0,0.0,0.0,0.0,1.0,1.0,305.96,305.96,,0.0,0.0,1.0,1.0
00010,2364904,1.0,USD,2025-02-28T00:00:00,2025-03-10T00:00:00,2853.0,2853.0,,0.0,0.0,0.0,0.0,1.0,1.0,1450.17,1450.17,,0.0,0.0,1.0,1.0
00010,2393587,1.0,USD,2025-04-08T00:00:00,2025-04-15T00:00:00,2560.5,2560.5,,0.0,0.0,0.0,0.0,1.0,1.0,1327.95,1327.95,,0.0,0.0,1.0,1.0
00010,2394564,1.0,USD,2025-04-09T00:00:00,2025-04-14T00:00:00,1407.2,1407.2,,0.0,0.0,0.0,0.0,1.0,1.0,617.6,617.6,,0.0,0.0,1.0,1.0
00010,2396121,1.0,USD,2025-04-11T00:00:00,2025-05-05T00:00:00,2853.0,2853.0,,0.0,0.0,0.0,0.0,1.0,1.0,1450.17,1450.17,,0.0,0.0,1.0,1.0
00010,2414281,1.0,USD,2025-05-05T00:00:00,2025-05-29T00:00:00,3051.55,3051.55,,0.0,0.0,0.0,0.0,1.0,1.0,2148.39,2148.39,,0.0,0.0,1.0,1.0
00010,2483261,1.0,USD,2025-08-04T00:00:00,2025-08-11T00:00:00,2844.0,2844.0,,0.0,0.0,0.0,0.0,1.0,1.0,1443.15,1443.15,,0.0,0.0,1.0,1.0
00010,2517528,1.0,USD,2025-09-18T00:00:00,2025-11-04T00:00:00,2560.5,2560.5,,0.0,0.0,0.0,0.0,1.0,1.0,1329.3,1329.3,,0.0,0.0,1.0,1.0
00010,2569944,1.0,USD,2025-11-26T00:00:00,2025-12-03T00:00:00,2844.0,2844.0,,0.0,0.0,0.0,0.0,1.0,1.0,1423.35,1423.35,,0.0,0.0,1.0,1.0
00010,2618528,1.0,USD,2026-05-28T00:00:00,2026-05-28T00:00:00,-1404.0,-1404.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0
00010,2578950,1.0,USD,2025-12-08T00:00:00,2026-05-06T00:00:00,15813.16,15813.16,,0.0,0.0,0.0,0.0,1.0,1.0,15060.15,15060.15,,0.0,0.0,1.0,1.0
00010,2622813,1.0,USD,2026-02-04T00:00:00,2026-03-05T00:00:00,1494.52,1494.52,,0.0,0.0,0.0,0.0,1.0,1.0,1423.35,1423.35,,0.0,0.0,1.0,1.0
00010,2658435,1.0,USD,2026-03-24T00:00:00,2026-04-06T00:00:00,299.18,299.18,,0.0,0.0,0.0,0.0,1.0,1.0,284.93,284.93,,0.0,0.0,1.0,1.0
00010,2687442,1.0,USD,2026-05-01T00:00:00,2026-05-11T00:00:00,1556.0,1556.0,,0.0,0.0,0.0,0.0,1.0,1.0,616.33,616.33,,0.0,0.0,1.0,1.0
00010,2687458,1.0,USD,2026-05-01T00:00:00,2026-05-13T00:00:00,372.8,372.8,,0.0,0.0,0.0,0.0,1.0,1.0,144.25,144.25,,0.0,0.0,1.0,1.0
00010,1970888,1.0,USD,2023-09-27T00:00:00,2024-01-23T00:00:00,9020.0,9020.0,,0.0,0.0,0.0,0.0,1.0,1.0,6820.0,6820.0,,0.0,0.0,1.0,1.0
00010,1970904,1.0,USD,2023-09-27T00:00:00,2024-03-07T00:00:00,9020.0,9020.0,,0.0,0.0,0.0,0.0,1.0,1.0,6820.0,6820.0,,0.0,0.0,1.0,1.0
00010,1970905,1.0,USD,2023-09-27T00:00:00,2024-04-04T00:00:00,9020.0,9020.0,,0.0,0.0,0.0,0.0,1.0,1.0,6820.0,6820.0,,0.0,0.0,1.0,1.0
00010,1970907,1.0,USD,2023-09-27T00:00:00,2024-05-07T00:00:00,9020.0,9020.0,,0.0,0.0,0.0,0.0,1.0,1.0,6806.58,6806.58,,0.0,0.0,1.0,1.0
00010,1970908,1.0,USD,2023-09-27T00:00:00,2024-06-06T00:00:00,9020.0,9020.0,,0.0,0.0,0.0,0.0,1.0,1.0,6806.58,6806.58,,0.0,0.0,1.0,1.0
00010,1970909,1.0,USD,2023-09-27T00:00:00,2024-07-04T00:00:00,9020.0,9020.0,,0.0,0.0,0.0,0.0,1.0,1.0,6806.58,6806.58,,0.0,0.0,1.0,1.0
