Branch,ParentItem2nd,CompItem2nd,CompBulk,CompGlobalBulk,CompItem2ndIM,CompBulkIM,CompBranch,TypeBOM,EffFrom,EffThru,Qty,QtyBatch,CompLineNum,RevLevel,UOM,IsCurrent,DWSource,CompIBSKey,ParentIBSKey
ORTC,U502-OP,U502,U502,U502,U502,U502,ORTC,M,2013-05-13T00:00:00,2040-12-31T00:00:00,45000.0,0.0,0.0,,LB,0,1,95773,95775
CRC0,WD40,STODSO,STODSO,STODSO,STODSO,STODSO,CRC0,M,1998-10-20T00:00:00,2040-12-31T00:00:00,60.0,0.0,0.0,,LB,0,1,67759,67761
GRAN,MD4020,OMS,OMS,OMS,OMS,OMS,GRAN,M,2017-10-04T00:00:00,2040-12-31T00:00:00,80.0,0.0,0.0,,LB,0,1,80434,80439
GRAN,MD4022,OMS,OMS,OMS,OMS,OMS,GRAN,M,2017-10-09T00:00:00,2040-12-31T00:00:00,74.1,0.0,0.0,,LB,0,1,80434,80441
GRAN,MD4021,OMS,OMS,OMS,OMS,OMS,GRAN,M,2017-10-11T00:00:00,2040-12-31T00:00:00,73.171,0.0,0.0,,LB,0,1,80434,80444
GRAN,MD4023,OMS,OMS,OMS,OMS,OMS,GRAN,M,2017-10-12T00:00:00,2040-12-31T00:00:00,73.87,0.0,0.0,,LB,0,1,80434,80446
USCM,191245PX,EMA3065,EMA3065,EMA3065,EMA3065,EMA3065,USCM,M,2023-02-23T00:00:00,2040-12-31T00:00:00,1.2021,0.0,0.0,,LB,0,1,115717,115742
USCM,DPE3500,EMA3065,EMA3065,EMA3065,EMA3065,EMA3065,USCM,M,2023-02-23T00:00:00,2040-12-31T00:00:00,1.2021,0.0,0.0,,LB,0,1,115717,115762
USCM,WD40,STODSO,STODSO,STODSO,STODSO,STODSO,USCM,M,1998-10-20T00:00:00,2040-10-09T00:00:00,60.0,0.0,0.0,,LB,0,1,115625,115629
USCM,MD4020,OMS,OMS,OMS,OMS,OMS,USCM,M,2017-10-04T00:00:00,2040-12-31T00:00:00,80.0,0.0,0.0,,LB,0,1,115631,115729
USCM,MD4022,OMS,OMS,OMS,OMS,OMS,USCM,M,2022-10-21T00:00:00,2040-12-31T00:00:00,74.1,0.0,0.0,,LB,0,1,115631,115731
USCM,MD4021,OMS,OMS,OMS,OMS,OMS,USCM,M,2022-10-21T00:00:00,2040-12-31T00:00:00,73.68,0.0,0.0,,LB,0,1,115631,115734
USCM,MD4023,OMS,OMS,OMS,OMS,OMS,USCM,M,2022-10-21T00:00:00,2040-12-31T00:00:00,73.87,0.0,0.0,,LB,0,1,115631,115736
CINC,UPR410,U501,U501,U501,U501,U501,CINC,M,2023-09-21T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,57427,61855
CIN2,HP1632,HP1632-T2,HP1632,HP1632,HP1632-T2,HP1632,CIN2,M,2022-03-04T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,21497,18217
CIN2,191245PX-PL,191245PX,191245PX,191245PX,191245PX,191245PX,CIN2,M,2019-12-11T00:00:00,2040-12-31T00:00:00,4000.0,0.0,0.0,,LB,0,1,21730,21764
CIN2,DPE3505,191245PX,191245PX,191245PX,191245PX,191245PX,CIN2,M,2023-09-11T00:00:00,2040-12-31T00:00:00,86.0,0.0,0.0,,LB,0,1,21730,22579
CIN2,191245PX-FD,191245PX,191245PX,191245PX,191245PX,191245PX,CIN2,M,2023-11-30T00:00:00,2040-12-31T00:00:00,45000.0,0.0,0.0,,LB,0,1,21730,22618
CIN2,U501-PL,U501,U501,U501,U501,U501,CIN2,M,2009-04-14T00:00:00,2040-12-31T00:00:00,4000.0,0.0,1.0,,LB,0,1,18223,18695
CIN2,U802-PL,U802,U802,U802,U802,U802,CIN2,M,2016-07-28T00:00:00,2040-12-31T00:00:00,4000.0,0.0,0.0,,LB,0,1,20695,20977
CIN2,U103Z,U802,U802,U802,U802,U802,CIN2,M,2026-01-30T00:00:00,2040-12-31T00:00:00,65.137,0.0,0.0,,LB,0,1,20695,22839
CIN2,241176FX,U802,U802,U802,U802,U802,CIN2,M,2024-07-03T00:00:00,2040-12-31T00:00:00,65.227,0.0,0.0,,LB,0,1,20695,22697
ORTC,U501-T2,U501,U501,U501,U501,U501,ORTC,M,2009-04-09T00:00:00,2040-12-31T00:00:00,220000.0,0.0,1.0,,LB,0,1,95690,95742
ORTC,U501-PL,U501,U501,U501,U501,U501,ORTC,M,2009-04-30T00:00:00,2040-12-31T00:00:00,4000.0,0.0,1.0,,LB,0,1,95690,95744
CIN2,U204,MDU20-T2,MDU20,MDU20,MDU20-T2,MDU20,CIN2,M,2020-11-16T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,20675,20146
CIN2,MDU20,MDU20-T2,MDU20,MDU20,MDU20-T2,MDU20,CIN2,M,2020-12-01T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,20675,20284
CIN2,U201,U201-T2,U201,U201,U201-T2,U201,CIN2,M,2020-11-16T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,21541,18219
