Branch,GlobalBulk,Bulk,Item2nd,StockType,MPF,LeadTimeLevel,LeadTimeMFG,PlanningCode,PTF,SafetyStock,SafetyStockSAFE,ShelfLife,SupplierNum,SupplierName,PlannerNum,PlannerName,Planner,BuyerNum,BuyerName,ActiveFlag,Partition,SRC01,SRC01Desc,SRC03,SRC03Desc,SRC04,SRC04Desc,StockTypeDesc,MPFDesc
        AUBA,U470,U470,U470-PL,O,TOL,75,85,1,365,,,365,45235,MICHELMAN INC.,301526,Rose-Anne Body,Other,0,,N,1,PUD,Polyurethane Dispersion,BPA,U470,E,Experimental,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        SHAN,MDU2012B,MDU2012B.E,MDU2012B.E-LP,S,TOL,75,7,1,15,,,365,309362,Michelman Int'l Belgium SRL,291266,Laurent Desjardin,Other,0,,Y,1,MDU,Michem Disp. Urethane,CB6,MDU2012B,E,Experimental,Stock End-Item,Toll Manufacturing
        AUB2,U501,U501,U501-OP,O,TOL,90,42,1,8,,,365,45235,MICHELMAN INC.,301526,Rose-Anne Body,Other,0,,N,1,URE,Polyurethanes,I95,U501,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,U2022,U2022,U2022-OP,O,TOL,90,42,1,8,,,365,45235,MICHELMAN INC.,301526,Rose-Anne Body,Other,0,,N,1,URE,Polyurethanes,I94,U2022,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,U204,U204,U204-T2,O,TOL,90,30,1,8,,,365,292788,Ortec Inc.,301526,Rose-Anne Body,Other,0,,N,1,URE,Polyurethanes,S57,U204,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,U501,U501,U501-OP,O,TOL,90,42,1,8,,,365,45235,MICHELMAN INC.,301526,Rose-Anne Body,Other,0,,N,1,URE,Polyurethanes,I95,U501,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,U2022,U2022,U2022-OP,O,TOL,90,42,1,8,,,365,45235,MICHELMAN INC.,301526,Rose-Anne Body,Other,0,,N,1,URE,Polyurethanes,I94,U2022,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,U204,U204,U204-T2,O,TOL,90,30,1,8,,,365,292788,Ortec Inc.,301526,Rose-Anne Body,Other,0,,N,1,URE,Polyurethanes,S57,U204,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,U502,U502.E,U502.E-PL,P,TOL,77,10,1,15,,,365,327516,ERCA Advanced Polymer Solutions SRL,340941,Lise Jacquet,Other,317713,"Hays, Isabelle",Y,1,URE,Polyurethanes,BMS,U502.E,C,Commercial,Purchased inc. Raw Material,Toll Manufacturing
        AUBA,U802,U802.E,U802.E-PL,P,TOL,60,55,1,90,,,365,327516,ERCA Advanced Polymer Solutions SRL,340941,Lise Jacquet,Other,317713,"Hays, Isabelle",Y,1,URE,Polyurethanes,BMU,U802.E,C,Commercial,Purchased inc. Raw Material,Toll Manufacturing
        CINC,MW40504,MW40504,MW40504-C2,O,TOL,60,6,1,10,,,365,328211,"BPI Packaging, LLC",324287,Brent Harris,Other,300328,"Lye, May Leng (Josephine)",N,1,PST,Paste Wax,CAZ,MW40504,CP,Commercial Proprietary,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        SHAN,U802,U802.E,U802.E-PL,S,TOL,60,55,1,90,,,365,327516,ERCA Advanced Polymer Solutions SRL,340941,Lise Jacquet,Other,317713,"Hays, Isabelle",Y,1,URE,Polyurethanes,BMU,U802.E,C,Commercial,Stock End-Item,Toll Manufacturing
        AUB2,U502,U502.E,U502.E,P,TOL,60,10,1,15,,,365,327516,ERCA Advanced Polymer Solutions SRL,291244,Joël Bertrand,Other,306439,"Hansen, Charlotte",Y,1,URE,Polyurethanes,BMS,U502.E,C,Commercial,Purchased inc. Raw Material,Toll Manufacturing
        AUB2,U502,U502.E,U502.E-TO,P,TOL,77,10,1,15,,,365,327516,ERCA Advanced Polymer Solutions SRL,340941,Lise Jacquet,Other,317713,"Hays, Isabelle",Y,1,URE,Polyurethanes,BMS,U502.E,C,Commercial,Purchased inc. Raw Material,Toll Manufacturing
        AUBA,U701,U701,U701-OP,O,TOL,115,90,1,180,,,365,45235,MICHELMAN INC.,340941,Lise Jacquet,Other,317713,"Hays, Isabelle",N,1,URE,Polyurethanes,I97,U701,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,U502,U502.E,U502.E,P,TOL,60,10,1,15,,,365,327516,ERCA Advanced Polymer Solutions SRL,291244,Joël Bertrand,Other,306439,"Hansen, Charlotte",Y,1,URE,Polyurethanes,BMS,U502.E,C,Commercial,Purchased inc. Raw Material,Toll Manufacturing
        CINC,U601,U601,U601-OP,P,TOL,42,42,1,10,,,365,292788,Ortec Inc.,324287,Brent Harris,Other,337883,"Keevan, Joseph",Y,1,URE,Polyurethanes,I96,U601,C,Commercial,Purchased inc. Raw Material,Toll Manufacturing
        CINR,U601,U601,U601-OP,P,TOL,42,42,1,10,,,365,292788,Ortec Inc.,324287,Brent Harris,Other,337883,"Keevan, Joseph",Y,1,URE,Polyurethanes,I96,U601,C,Commercial,Purchased inc. Raw Material,Toll Manufacturing
        ORTC,U701,U701,U701-OP,O,TOL,42,56,1,15,,,365,0,,328907,James Massie,Other,328907,"Massie, James",N,1,URE,Polyurethanes,I97,U701,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        USCM,U701,U701,U701-OP,X,TOL,42,56,1,15,,,365,0,,328907,James Massie,Other,328907,"Massie, James",N,1,URE,Polyurethanes,I97,U701,C,Commercial,Outside Processing,Toll Manufacturing
