MatchType,DocType,OrdType,OrderCo,OrderNum,DocNum,LineNum,TxnDate,RecvDate,GLDate,SupplierNum,SupplierName,Item2nd,Bulk,GlobalBulk,Qty,QtyLB,QtyKG,Amt,USD,EUR
1,OV,OP,00010,122736,192220,1.0,2020-09-03T00:00:00,2020-09-03T00:00:00,2020-09-03T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35885.3238
1,OV,OP,00010,122737,192409,1.0,2020-09-10T00:00:00,2020-09-10T00:00:00,2020-09-10T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35740.3742
1,OV,OP,00010,122737,192411,1.0,2020-09-10T00:00:00,2020-09-10T00:00:00,2020-09-10T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35740.3742
1,OV,OP,00010,122737,192760,1.0,2020-09-17T00:00:00,2020-09-17T00:00:00,2020-09-17T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35903.0048
1,OV,OP,00010,122738,192735,1.0,2020-09-17T00:00:00,2020-09-17T00:00:00,2020-09-17T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35903.0048
1,OV,OP,00010,122738,192806,1.0,2020-09-18T00:00:00,2020-09-18T00:00:00,2020-09-18T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35795.3613
1,OV,OP,00010,123278,193617,1.0,2020-10-07T00:00:00,2020-10-07T00:00:00,2020-10-07T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,36079.6485
1,OV,OP,00010,123278,193623,1.0,2020-10-07T00:00:00,2020-10-07T00:00:00,2020-10-07T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,36079.6485
1,OV,OP,00010,124189,193657,1.0,2020-10-08T00:00:00,2020-10-08T00:00:00,2020-10-08T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,44739.2,44739.2,38067.7934
1,OV,OP,00010,124190,195821,1.0,2020-11-18T00:00:00,2020-11-18T00:00:00,2020-11-18T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,43683.2,43683.2,36804.1531
1,OV,OP,00010,124191,198666,1.0,2021-01-08T00:00:00,2021-01-08T00:00:00,2021-01-08T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,44739.2,44739.2,36507.3975
